command line: ../SSG/exact-counting_pcap.py vpp_generator_capture.pcap vpp_generator_capture_ref.txt --parsing_mode 1
simulation time: 0:05:22.802926
==========================================
Global HLL: 186198 722
cardinality_count	key	ratio_cardinality		||	elephant_count	ratio_elephant	|	overMinRank	ratio_overMinRank
==========VVV=============
239 	 11.12.35.138 	 0.128		||	13892 	 0.0703	|	530 	 3.82
239 	 11.12.35.137 	 0.128		||	13890 	 0.0703	|	231 	 1.66
239 	 11.12.35.136 	 0.128		||	13892 	 0.0703	|	290 	 2.09
239 	 11.12.35.135 	 0.128		||	13891 	 0.0703	|	406 	 2.92
239 	 11.12.35.134 	 0.128		||	13892 	 0.0703	|	583 	 4.2
239 	 11.12.35.133 	 0.128		||	13891 	 0.0703	|	643 	 4.63
239 	 11.12.35.132 	 0.128		||	13892 	 0.0703	|	405 	 2.92
239 	 11.12.35.131 	 0.128		||	13892 	 0.0703	|	404 	 2.91
239 	 11.12.35.130 	 0.128		||	13892 	 0.0703	|	172 	 1.24
239 	 11.12.33.80 	 0.128		||	13907 	 0.0704	|	406 	 2.92
239 	 11.12.33.81 	 0.128		||	13906 	 0.0704	|	411 	 2.96
239 	 11.12.33.82 	 0.128		||	13905 	 0.0704	|	231 	 1.66
239 	 11.12.33.83 	 0.128		||	13909 	 0.0704	|	409 	 2.94
239 	 11.12.33.84 	 0.128		||	13908 	 0.0704	|	409 	 2.94
239 	 11.12.33.85 	 0.128		||	13907 	 0.0704	|	352 	 2.53
239 	 11.12.33.86 	 0.128		||	13908 	 0.0704	|	522 	 3.75
239 	 11.12.33.87 	 0.128		||	13906 	 0.0704	|	579 	 4.16
239 	 11.12.33.88 	 0.128		||	13906 	 0.0704	|	408 	 2.93
239 	 11.12.33.89 	 0.128		||	13908 	 0.0704	|	233 	 1.68
239 	 11.12.34.87 	 0.128		||	13899 	 0.0704	|	347 	 2.5
239 	 11.12.34.86 	 0.128		||	13898 	 0.0704	|	581 	 4.18
239 	 11.12.34.81 	 0.128		||	13903 	 0.0704	|	405 	 2.91
239 	 11.12.34.80 	 0.128		||	13904 	 0.0704	|	695 	 5
239 	 11.12.34.83 	 0.128		||	13902 	 0.0704	|	291 	 2.09
239 	 11.12.34.82 	 0.128		||	13903 	 0.0704	|	458 	 3.29
239 	 11.12.35.117 	 0.128		||	13896 	 0.0704	|	291 	 2.09
239 	 11.12.35.116 	 0.128		||	13898 	 0.0704	|	701 	 5.04
239 	 11.12.34.253 	 0.128		||	13896 	 0.0704	|	587 	 4.22
239 	 11.12.34.252 	 0.128		||	13896 	 0.0704	|	696 	 5.01
239 	 11.12.34.251 	 0.128		||	13894 	 0.0704	|	408 	 2.94
239 	 11.12.34.250 	 0.128		||	13894 	 0.0704	|	584 	 4.2
239 	 11.12.34.255 	 0.128		||	13895 	 0.0704	|	643 	 4.63
239 	 11.12.34.254 	 0.128		||	13897 	 0.0704	|	931 	 6.7
239 	 11.12.34.0 	 0.128		||	13906 	 0.0704	|	406 	 2.92
239 	 11.12.34.1 	 0.128		||	13906 	 0.0704	|	350 	 2.52
239 	 11.12.34.2 	 0.128		||	13906 	 0.0704	|	754 	 5.42
239 	 11.12.34.3 	 0.128		||	13907 	 0.0704	|	469 	 3.37
239 	 11.12.34.4 	 0.128		||	13907 	 0.0704	|	463 	 3.33
239 	 11.12.34.5 	 0.128		||	13905 	 0.0704	|	462 	 3.32
239 	 11.12.34.6 	 0.128		||	13905 	 0.0704	|	346 	 2.49
239 	 11.12.34.7 	 0.128		||	13904 	 0.0704	|	637 	 4.58
239 	 11.12.34.8 	 0.128		||	13904 	 0.0704	|	524 	 3.77
239 	 11.12.34.9 	 0.128		||	13904 	 0.0704	|	696 	 5.01
239 	 11.12.35.91 	 0.128		||	13890 	 0.0703	|	528 	 3.8
239 	 11.12.35.90 	 0.128		||	13889 	 0.0703	|	584 	 4.2
239 	 11.12.35.93 	 0.128		||	13890 	 0.0703	|	348 	 2.51
239 	 11.12.35.92 	 0.128		||	13891 	 0.0703	|	525 	 3.78
239 	 11.12.35.95 	 0.128		||	13892 	 0.0703	|	175 	 1.26
239 	 11.12.35.94 	 0.128		||	13891 	 0.0703	|	525 	 3.78
239 	 11.12.35.97 	 0.128		||	13895 	 0.0704	|	701 	 5.04
239 	 11.12.35.96 	 0.128		||	13893 	 0.0703	|	523 	 3.76
239 	 11.12.35.99 	 0.128		||	13895 	 0.0704	|	233 	 1.68
239 	 11.12.35.98 	 0.128		||	13895 	 0.0704	|	580 	 4.17
